sample_id,timestamp,iron_feed_pct,silica_feed_pct,starch_flow,amina_flow,ore_pulp_flow,ore_pulp_ph,ore_pulp_density,flotation_air_flow_avg,flotation_level_avg,iron_concentrate_pct,silica_concentrate_pct
MPQ-0001,2017-03-10T01:00:00.000Z,55.2,16.98,3019.53,557.434,395.713,10.0664,1.74000,265.090,461.548,66.91,1.31
MPQ-0002,2017-03-10T01:00:00.000Z,55.2,16.98,3024.41,563.965,397.383,10.0672,1.74000,264.534,457.548,66.91,1.31
MPQ-0003,2017-03-10T01:00:00.000Z,55.2,16.98,3043.46,568.054,399.668,10.0680,1.74000,264.120,456.467,66.91,1.31
MPQ-0004,2017-03-10T01:00:00.000Z,55.2,16.98,3047.36,568.665,397.939,10.0689,1.74000,265.360,448.064,66.91,1.31
MPQ-0005,2017-03-10T02:00:00.000Z,55.2,16.98,3111.43,531.006,397.266,10.1513,1.65568,265.052,443.496,67.06,1.11
MPQ-0006,2017-03-10T02:00:00.000Z,55.2,16.98,2995.61,533.447,391.992,10.1507,1.65465,264.660,450.627,67.06,1.11
MPQ-0007,2017-03-10T02:00:00.000Z,55.2,16.98,2939.06,531.616,392.139,10.1501,1.65361,263.655,461.285,67.06,1.11
MPQ-0008,2017-03-10T02:00:00.000Z,55.2,16.98,2857.81,527.039,396.680,10.1495,1.65258,264.001,464.611,67.06,1.11
MPQ-0009,2017-03-10T02:00:00.000Z,55.2,16.98,2796.78,524.902,397.852,10.1489,1.65155,264.220,457.036,67.06,1.11
MPQ-0010,2017-03-10T02:00:00.000Z,55.2,16.98,2795.70,514.526,398.145,10.1484,1.65052,264.566,452.003,67.06,1.11
